step,oracle_price,pool_a_mid,pool_b_mid,pool_a_fee_buy,pool_a_fee_sell,pool_b_fee_buy,pool_b_fee_sell,action,agent_qty_a,agent_qty_b,agent_cash_flow_x,agent_fee_paid_x,agent_gas_x,remaining_after,post_trade_gap_a_bps,post_trade_gap_b_bps,noise_buy_a,noise_buy_b,noise_sell_a,noise_sell_b,arb_delta_a,arb_delta_b,reward
0,1000.0,1007.3263852298779,1005.3961420646054,0.00597401944742583,0.0001,0.004995870642664521,0.0010041293573354792,exec_10_A,5.0,0.0,5040.24636724243,15.12073910172694,2.0,45.0,100.75503143860033,0.0,0.01710077804172906,2.696319190963273,1.3739145251737548,0.009118668215910395,0.0,0.0,-0.0008449273448486019
1,1001.4090682383941,1002.5107283794703,1003.4180388170887,0.0037609592924965213,0.002239040707503479,0.004220950378431492,0.0017790496215685078,exec_10_B,0.0,4.5,4567.6084777269125,22.819181101061076,2.0,40.5,59.089908201981544,131.03335368999814,1.8344484190417163,0.08077856160466071,0.05159131200112248,1.1846718498772486,-4.173038143943586,-4.378656505111508,-0.00139216955453825
2,1000.9903709298986,1007.6294299232646,1007.3771989310505,0.006201087050099674,0.0001,0.006073251662211535,0.0001,exec_10_A,4.05,0.0,4092.089981826903,15.390183842883744,2.0,36.45,96.91007903572117,24.252659742718773,0.0660125577599575,2.016844387823363,1.5759930277829217,0.05317963967898317,0.0,0.0,-0.0008817996365380622
3,1001.2522763964892,1002.3537640492905,1002.3537640492905,0.003357355046129117,0.0026426449538708833,0.003357355046129117,0.0026426449538708833,exec_10_B,0.0,3.6450000000000005,3707.891489716796,22.51895815322223,2.0,32.805,63.69177556056989,135.19457239281417,1.7945907390009792,0.052211419110424505,0.04202478533072249,1.4916780600707389,-4.370782185186954,-4.699040322122187,-0.001297829794335912
4,1001.6414411509865,1007.5406207661756,1005.517923684704,0.005378976031705864,0.0006210239682941363,0.0043553826453813504,0.0016446173546186497,exec_10_B,0.0,3.2805,3310.1702249165564,11.113416708170007,2.0,29.5245,7.111555782730925,73.17070387424364,2.6415403504104957,0.09558746378134472,0.06722823076510243,1.8032996916129584,0.0,0.0,-0.0006334044983311287
5,1002.8030400656068,1003.1389923524172,1007.207333911514,0.0032438366727012644,0.0027561633272987357,0.005303022516995024,0.0006969774830049764,wait,0.0,0.0,0.0,0.0,0.0,29.5245,47.243381913350674,27.07294962846961,0.2975142529127769,1.3798093981633266,2.480824049196466,0.5431020885764805,0.0,0.0,-0.0
6,1002.632277970879,1009.4795856058599,1007.0896019879283,0.006806822010664566,0.0001,0.005596320255456565,0.00040367974454343526,exec_10_A,2.9524500000000002,0.0,2980.168911109135,9.667181204699773,2.0,26.57205,64.48883544168217,45.63044738489649,1.3855360024937167,1.2576749381838332,1.197438474332555,1.3159152914368626,0.0,0.0,-0.000594378222182695
7,1001.901091200366,1003.0032926208281,1003.3080074116966,0.0038785643684007137,0.0021214356315992864,0.004033009542633598,0.001966990457366402,exec_10_B,0.0,2.6572050000000003,2698.2991095673183,15.100545962151955,2.0,23.914845,75.64114334294496,105.61019221418206,1.1807738523665754,0.48437003162241465,0.48884693161125015,1.8720812681096821,-3.9000129456255763,-3.1456456133646498,-0.000861882191346358
8,1001.2511975060614,1005.945852943527,1007.3920163324412,0.005473847261824873,0.0005261527381751267,0.006206973246932749,0.0001,exec_10_A,2.3914845000000002,0.0,2413.7876332316146,9.362030707138274,2.0,21.5233605,65.65728339326492,20.54239646113122,0.24171521861697104,2.159481055221425,1.1717376765978031,0.1337495845606085,0.0,0.0,-0.00048606266463229077
9,1001.0105839061521,1002.5390831737977,1002.1118056706251,0.004210035893927385,0.001789964106072615,0.003993228375308374,0.0020067716246916253,exec_10_A,2.15233605,0.0,2181.760185735785,11.942622018648308,2.0,19.37102445,92.83113203736016,63.74989964029637,0.6796818575641156,2.022871517582965,1.61713785324807,0.4694317422756234,-2.907485350200318,-4.1748492622090225,-0.0006284827147156921
10,1000.1328383873151,1001.7902657585047,1002.3118093909948,0.00454504368982052,0.0014549563101794805,0.004810054095607416,0.001189945904392584,wait,0.0,0.0,0.0,0.0,0.0,19.37102445,24.059251872607263,19.78704435403826,0.5626000703778841,0.7782358423293038,0.9357963823580854,0.678564843902144,0.0,0.0,-0.0
11,998.7168875570285,1004.3761867403189,1005.336224842893,0.00626000705873052,0.0001,0.006748202925434805,0.0001,exec_10_A,1.937102445,0.0,1953.217588379286,8.877459274909825,2.0,17.433922005,69.78272155076752,35.99540449105508,0.35899912995582767,1.7174290267910557,1.00909651869235,0.21385195254534026,0.0,0.0,-0.0003623028675857222
12,997.8974037861203,998.9952007099773,998.9952007099773,0.003421273011631194,0.002578726988368806,0.003421273011631194,0.002578726988368806,wait,0.0,0.0,0.0,0.0,0.0,17.433922005,64.92433921180087,74.54494849419443,1.8498645332256798,0.8877410670967976,0.9930577687589066,1.6052727223851946,-3.540523166379103,-2.4427283646351725,-0.0
13,998.1583886362831,1000.6848978054762,1001.7392056556383,0.004571679201671092,0.0014283207983289087,0.005108020471859124,0.0008919795281408763,exec_10_A,1.7433922005,0.0,1750.6700955980739,5.98952035033949,2.0,15.690529804499999,43.35447850135406,8.383559996299633,0.2719708904630223,1.5763700856203144,1.170311424346728,0.2051213594961405,0.0,0.0,-0.00018555790196147883
14,997.5595605324855,1003.1610876010402,1003.4075846530183,0.005938061611737038,0.0001,0.006063482935869847,0.0001,exec_10_A,1.56905298045,0.0,1579.8183754121162,7.222422809289355,2.0,14.12147682405,62.894280879199556,41.8987024786946,0.5689392717418987,1.2460922287522673,0.9034588821899179,0.4151120922614912,0.0,0.0,-0.0002553078992423252
15,997.3285150308685,1002.1394799567177,1001.6528327086338,0.00549098252225009,0.0005090174777499104,0.005243332394403744,0.0007566676055962562,wait,0.0,0.0,0.0,0.0,0.0,14.12147682405,58.48195937715836,60.95353266783505,0.9848669462403478,0.8157285468675545,1.4936468948582537,1.689785521741436,0.0,0.0,-0.0
16,997.19853717759,1002.1143850400016,1003.3717770466891,0.0051500887477935325,0.0008499112522064676,0.005789551157991094,0.0002104488420089064,wait,0.0,0.0,0.0,0.0,0.0,14.12147682405,49.54823533047115,44.66809130758462,1.1414258807203677,1.6550837759805757,1.1539334138508275,0.7988399562000906,0.0,0.0,-0.0
17,997.8385791864649,999.6860621985878,1000.9417636983002,0.004014921394870532,0.0019850786051294677,0.00465365652771746,0.00134634347228254,wait,0.0,0.0,0.0,0.0,0.0,14.12147682405,42.850676880249715,55.45183334899082,1.8630735645857648,0.7136084973080994,0.7445372696412683,1.9246961190306846,-2.3310611486294874,0.0,-0.0
