seed,seed_set,mode,policy,completion_rule,shortfall_bps,completion_rate,terminal_penalty_bps,forced_terminal_cost_bps,fee_bps,gas_bps,slippage_ex_fee_bps,drift_bps,route_share_A,route_share_B,wait_share
30000,test,DynamicDuopoly,twap,standard,127.2777,0.999704,0.0592,0.0000,41.0178,20.0000,47.7265,18.4742,0.5061,0.4939,0.0000
30000,test,DynamicDuopoly,fee_aware_twap,standard,127.2777,0.999704,0.0592,0.0000,41.0178,20.0000,47.7265,18.4742,0.5061,0.4939,0.0000
30000,test,DynamicDuopoly,lookahead,standard,134.0396,0.999842,0.0315,0.0000,38.0235,8.8000,52.0196,35.1650,0.5524,0.4476,0.6000
30001,test,DynamicDuopoly,twap,standard,123.4718,0.999704,0.0592,0.0000,41.5667,20.0000,48.7830,13.0629,0.5306,0.4694,0.0000
30001,test,DynamicDuopoly,fee_aware_twap,standard,123.4718,0.999704,0.0592,0.0000,41.5667,20.0000,48.7830,13.0629,0.5306,0.4694,0.0000
30001,test,DynamicDuopoly,lookahead,standard,121.4719,0.999858,0.0284,0.0000,34.6651,9.2000,44.0775,33.5010,0.6603,0.3397,0.5800
30002,test,DynamicDuopoly,twap,standard,132.1532,0.999704,0.0592,0.0000,42.7558,20.0000,51.0858,18.2525,0.5143,0.4857,0.0000
30002,test,DynamicDuopoly,fee_aware_twap,standard,132.1532,0.999704,0.0592,0.0000,42.7558,20.0000,51.0858,18.2525,0.5143,0.4857,0.0000
30002,test,DynamicDuopoly,lookahead,standard,108.0029,0.999830,0.0341,0.0000,35.6684,9.6000,44.3361,18.3643,0.5390,0.4610,0.5800
30003,test,DynamicDuopoly,twap,standard,103.4066,0.999704,0.0592,0.0000,43.6730,20.0000,52.9693,-13.2949,0.6366,0.3634,0.0000
30003,test,DynamicDuopoly,fee_aware_twap,standard,103.4066,0.999704,0.0592,0.0000,43.6730,20.0000,52.9693,-13.2949,0.5274,0.4726,0.0000
30003,test,DynamicDuopoly,lookahead,standard,120.9858,0.999840,0.0320,0.0000,41.8586,7.6000,74.5489,-3.0537,0.5016,0.4984,0.6800
30004,test,DynamicDuopoly,twap,standard,94.0551,0.999704,0.0592,0.0000,42.7941,20.0000,51.3181,-20.1164,0.4586,0.5414,0.0000
30004,test,DynamicDuopoly,fee_aware_twap,standard,94.0551,0.999704,0.0592,0.0000,42.7941,20.0000,51.3181,-20.1164,0.4586,0.5414,0.0000
30004,test,DynamicDuopoly,lookahead,standard,48.8558,0.999858,0.0284,0.0000,36.1650,8.8000,47.8674,-44.0049,0.4950,0.5050,0.5800
30005,test,DynamicDuopoly,twap,standard,122.6919,0.999704,0.0592,0.0000,40.9684,20.0000,47.6142,14.0500,0.4205,0.5795,0.0000
30005,test,DynamicDuopoly,fee_aware_twap,standard,122.6919,0.999704,0.0592,0.0000,40.9684,20.0000,47.6142,14.0500,0.4205,0.5795,0.0000
30005,test,DynamicDuopoly,lookahead,standard,114.3277,0.999787,0.0426,0.0000,36.6137,8.8000,47.4671,21.4043,0.5414,0.4586,0.5800
30006,test,DynamicDuopoly,twap,standard,117.8570,0.999704,0.0592,0.0000,39.9524,20.0000,45.6201,12.2252,0.6337,0.3663,0.0000
30006,test,DynamicDuopoly,fee_aware_twap,standard,117.8570,0.999704,0.0592,0.0000,39.9524,20.0000,45.6201,12.2252,0.6337,0.3663,0.0000
30006,test,DynamicDuopoly,lookahead,standard,131.7431,0.999872,0.0255,0.0000,37.3452,9.2000,48.2415,36.9309,0.5293,0.4707,0.5600
30007,test,DynamicDuopoly,twap,standard,87.4975,0.999704,0.0592,0.0000,43.7729,20.0000,53.2256,-29.5601,0.5234,0.4766,0.0000
30007,test,DynamicDuopoly,fee_aware_twap,standard,87.4975,0.999704,0.0592,0.0000,43.7729,20.0000,53.2256,-29.5601,0.5234,0.4766,0.0000
30007,test,DynamicDuopoly,lookahead,standard,51.0753,0.999842,0.0315,0.0000,35.8356,8.8000,47.7709,-41.3628,0.4791,0.5209,0.6000
30008,test,DynamicDuopoly,twap,standard,102.1139,0.999704,0.0592,0.0000,41.2393,20.0000,48.1686,-7.3532,0.5937,0.4063,0.0000
30008,test,DynamicDuopoly,fee_aware_twap,standard,102.1139,0.999704,0.0592,0.0000,41.2393,20.0000,48.1686,-7.3532,0.5937,0.4063,0.0000
30008,test,DynamicDuopoly,lookahead,standard,72.1249,0.999805,0.0389,0.0000,37.3010,8.4000,55.3032,-28.9181,0.7368,0.2632,0.6400
30009,test,DynamicDuopoly,twap,standard,136.8426,0.999704,0.0592,0.0000,39.8673,20.0000,45.4137,31.5024,0.5581,0.4419,0.0000
30009,test,DynamicDuopoly,fee_aware_twap,standard,136.8426,0.999704,0.0592,0.0000,39.8673,20.0000,45.4137,31.5024,0.5581,0.4419,0.0000
30009,test,DynamicDuopoly,lookahead,standard,134.4513,0.999787,0.0426,0.0000,33.8306,8.8000,42.0137,49.7646,0.5479,0.4521,0.5800
30010,test,DynamicDuopoly,twap,standard,102.8054,0.999704,0.0592,0.0000,44.4029,20.0000,54.4153,-16.0720,0.5564,0.4436,0.0000
30010,test,DynamicDuopoly,fee_aware_twap,standard,102.8054,0.999704,0.0592,0.0000,44.4029,20.0000,54.4153,-16.0720,0.5564,0.4436,0.0000
30010,test,DynamicDuopoly,lookahead,standard,61.1277,0.999805,0.0389,0.0000,42.8313,8.0000,66.7917,-56.5343,0.6738,0.3262,0.6400
30011,test,DynamicDuopoly,twap,standard,108.9492,0.999704,0.0592,0.0000,39.2449,20.0000,44.2820,5.3631,0.5598,0.4402,0.0000
30011,test,DynamicDuopoly,fee_aware_twap,standard,108.9492,0.999704,0.0592,0.0000,39.2449,20.0000,44.2820,5.3631,0.5598,0.4402,0.0000
30011,test,DynamicDuopoly,lookahead,standard,115.4154,0.999790,0.0420,0.0000,34.3812,8.8000,47.3991,24.7931,0.4373,0.5627,0.6200
30012,test,DynamicDuopoly,twap,standard,121.2666,0.999704,0.0592,0.0000,40.8722,20.0000,47.4312,12.9040,0.5834,0.4166,0.0000
30012,test,DynamicDuopoly,fee_aware_twap,standard,121.2666,0.999704,0.0592,0.0000,40.8722,20.0000,47.4312,12.9040,0.5834,0.4166,0.0000
30012,test,DynamicDuopoly,lookahead,standard,105.8145,0.999766,0.0467,0.0000,34.4692,8.4000,48.2268,14.6718,0.6360,0.3640,0.6400
