train_mode,test_mode,policy,seed_set,seed,shortfall_bps,completion_rate
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30000,130.7627,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30001,137.8923,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30002,168.2907,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30003,129.7626,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30004,35.818,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30005,122.7611,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30006,208.6535,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30007,62.5326,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30008,100.0309,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30009,217.0229,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30010,45.2003,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30011,205.3266,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30012,92.6558,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30013,114.0334,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30014,116.0387,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30015,107.3384,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30016,39.4282,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30017,103.0846,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30018,46.2584,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30019,137.8246,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30020,201.1454,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30021,77.5546,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30022,72.6529,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30023,127.7453,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30024,93.4264,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30025,142.7442,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30026,159.4986,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30027,94.4097,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30028,47.3013,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30029,99.0557,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30030,135.2337,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30031,69.0999,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30032,117.3137,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30033,66.1585,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30034,149.931,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30035,186.9064,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30036,100.8425,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30037,121.5894,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30038,52.5455,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30039,70.045,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30040,84.7032,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30041,125.6102,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30042,91.9042,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30043,49.7987,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30044,52.0846,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30045,130.0517,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30046,118.8587,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30047,181.8766,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30048,57.9093,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30049,131.851,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30050,93.5218,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30051,268.1271,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30052,167.7396,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30053,111.9706,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30054,135.2086,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30055,99.3662,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30056,165.6202,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30057,152.4485,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30058,140.6233,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30059,47.7962,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30060,110.5535,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30061,187.6111,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30062,232.1386,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30063,103.7618,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30064,82.772,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30065,135.5977,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30066,24.122,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30067,155.2548,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30068,204.0723,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30069,140.1104,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30070,183.1832,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30071,95.0079,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30072,153.3185,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30073,153.8611,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30074,56.8823,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30075,105.8254,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30076,135.5271,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30077,149.7711,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30078,102.9183,1.0
constant_duopoly,constant_duopoly,dqn_constant_duopoly,test,30079,114.9029,1.0
