policy,agent_order,seed,shortfall_bps,completion_rate,forced_terminal_cost_bps,wait_share
dqn_order_random,random,90000,126.4004,1.0,4.65,0.74
dqn_order_random,random,90001,124.4879,1.0,5.556,0.74
dqn_order_random,random,90002,106.388,1.0,3.5724,0.72
dqn_order_random,random,90003,99.9934,1.0,3.9675,0.74
dqn_order_random,random,90004,118.0266,1.0,2.9117,0.7
dqn_order_random,random,90005,100.8507,1.0,4.0777,0.74
dqn_order_random,random,90006,54.0311,1.0,2.0715,0.74
dqn_order_random,random,90007,81.5064,1.0,1.5483,0.72
dqn_order_random,random,90008,34.6538,1.0,1.1805,0.7
dqn_order_random,random,90009,113.8911,1.0,8.8418,0.76
dqn_order_random,random,90010,112.4921,1.0,3.4232,0.74
dqn_order_random,random,90011,86.8719,1.0,1.9471,0.74
dqn_order_random,random,90012,112.9801,1.0,3.4659,0.74
dqn_order_random,random,90013,82.6135,1.0,0.9511,0.72
dqn_order_random,random,90014,55.4187,1.0,1.5362,0.66
dqn_order_random,random,90015,96.2472,1.0,3.3937,0.74
dqn_order_random,random,90016,84.4652,1.0,1.3421,0.76
dqn_order_random,random,90017,97.2221,1.0,3.5945,0.76
dqn_order_random,random,90018,119.377,1.0,5.8924,0.74
dqn_order_random,random,90019,107.4673,1.0,2.6961,0.76
dqn_order_random,random,90020,117.8717,1.0,3.7014,0.72
dqn_order_random,random,90021,68.773,1.0,1.4606,0.76
dqn_order_random,random,90022,100.6003,1.0,2.955,0.74
dqn_order_random,random,90023,152.4701,1.0,7.5051,0.76
dqn_order_random,random,90024,125.4466,1.0,7.5579,0.74
dqn_order_random,random,90025,101.97,1.0,3.766,0.74
dqn_order_random,random,90026,107.3664,1.0,2.7443,0.74
dqn_order_random,random,90027,154.0986,1.0,4.3428,0.76
dqn_order_random,random,90028,105.2773,1.0,3.3854,0.74
dqn_order_random,random,90029,87.3541,1.0,3.1635,0.74
dqn_order_random,random,90030,125.3905,1.0,2.2748,0.72
