train_order,test_order,policy,seed_set,seed,shortfall_bps,completion_rate
before,before,dqn_dynamic_duopoly,test,30000,108.4898,1.0
before,before,dqn_dynamic_duopoly,test,30001,98.8883,1.0
before,before,dqn_dynamic_duopoly,test,30002,120.8223,1.0
before,before,dqn_dynamic_duopoly,test,30003,86.0601,1.0
before,before,dqn_dynamic_duopoly,test,30004,38.036,1.0
before,before,dqn_dynamic_duopoly,test,30005,102.5902,1.0
before,before,dqn_dynamic_duopoly,test,30006,128.6795,1.0
before,before,dqn_dynamic_duopoly,test,30007,44.2152,1.0
before,before,dqn_dynamic_duopoly,test,30008,75.9881,1.0
before,before,dqn_dynamic_duopoly,test,30009,147.0989,1.0
before,before,dqn_dynamic_duopoly,test,30010,41.2087,1.0
before,before,dqn_dynamic_duopoly,test,30011,105.5739,1.0
before,before,dqn_dynamic_duopoly,test,30012,90.35,1.0
before,before,dqn_dynamic_duopoly,test,30013,82.7385,1.0
before,before,dqn_dynamic_duopoly,test,30014,91.7799,1.0
before,before,dqn_dynamic_duopoly,test,30015,93.9655,1.0
before,before,dqn_dynamic_duopoly,test,30016,52.2022,1.0
before,before,dqn_dynamic_duopoly,test,30017,88.7314,1.0
before,before,dqn_dynamic_duopoly,test,30018,39.2837,1.0
before,before,dqn_dynamic_duopoly,test,30019,92.5176,1.0
before,before,dqn_dynamic_duopoly,test,30020,126.9754,1.0
before,before,dqn_dynamic_duopoly,test,30021,53.8813,1.0
before,before,dqn_dynamic_duopoly,test,30022,56.4766,1.0
before,before,dqn_dynamic_duopoly,test,30023,87.0056,1.0
before,before,dqn_dynamic_duopoly,test,30024,72.8853,1.0
before,before,dqn_dynamic_duopoly,test,30025,108.0864,1.0
before,before,dqn_dynamic_duopoly,test,30026,104.9744,1.0
before,before,dqn_dynamic_duopoly,test,30027,74.8797,1.0
before,before,dqn_dynamic_duopoly,test,30028,60.5316,1.0
before,before,dqn_dynamic_duopoly,test,30029,72.048,1.0
before,before,dqn_dynamic_duopoly,test,30030,95.6168,1.0
before,before,dqn_dynamic_duopoly,test,30031,53.444,1.0
before,before,dqn_dynamic_duopoly,test,30032,93.8179,1.0
before,before,dqn_dynamic_duopoly,test,30033,68.2735,1.0
before,before,dqn_dynamic_duopoly,test,30034,108.4448,1.0
before,before,dqn_dynamic_duopoly,test,30035,114.0639,1.0
before,before,dqn_dynamic_duopoly,test,30036,84.5519,1.0
before,before,dqn_dynamic_duopoly,test,30037,90.1826,1.0
before,before,dqn_dynamic_duopoly,test,30038,36.7513,1.0
before,before,dqn_dynamic_duopoly,test,30039,70.0129,1.0
before,before,dqn_dynamic_duopoly,test,30040,58.0001,1.0
before,before,dqn_dynamic_duopoly,test,30041,103.0676,1.0
before,before,dqn_dynamic_duopoly,test,30042,84.7308,1.0
before,before,dqn_dynamic_duopoly,test,30043,44.9041,1.0
before,before,dqn_dynamic_duopoly,test,30044,52.1847,1.0
before,before,dqn_dynamic_duopoly,test,30045,97.0282,1.0
before,before,dqn_dynamic_duopoly,test,30046,87.2022,1.0
before,before,dqn_dynamic_duopoly,test,30047,110.9513,1.0
before,before,dqn_dynamic_duopoly,test,30048,46.4625,1.0
before,before,dqn_dynamic_duopoly,test,30049,102.0696,1.0
before,before,dqn_dynamic_duopoly,test,30050,82.3974,1.0
before,before,dqn_dynamic_duopoly,test,30051,130.7804,1.0
before,before,dqn_dynamic_duopoly,test,30052,114.6606,1.0
before,before,dqn_dynamic_duopoly,test,30053,75.0056,1.0
before,before,dqn_dynamic_duopoly,test,30054,112.1757,1.0
before,before,dqn_dynamic_duopoly,test,30055,83.3052,1.0
before,before,dqn_dynamic_duopoly,test,30056,111.8301,1.0
before,before,dqn_dynamic_duopoly,test,30057,88.4749,1.0
before,before,dqn_dynamic_duopoly,test,30058,86.3611,1.0
before,before,dqn_dynamic_duopoly,test,30059,51.1429,1.0
before,before,dqn_dynamic_duopoly,test,30060,96.9537,1.0
before,before,dqn_dynamic_duopoly,test,30061,120.5998,1.0
before,before,dqn_dynamic_duopoly,test,30062,134.5149,1.0
before,before,dqn_dynamic_duopoly,test,30063,68.852,1.0
before,before,dqn_dynamic_duopoly,test,30064,63.1952,1.0
before,before,dqn_dynamic_duopoly,test,30065,101.1466,1.0
before,before,dqn_dynamic_duopoly,test,30066,29.6205,1.0
before,before,dqn_dynamic_duopoly,test,30067,111.4783,1.0
before,before,dqn_dynamic_duopoly,test,30068,115.9468,1.0
before,before,dqn_dynamic_duopoly,test,30069,90.5591,1.0
before,before,dqn_dynamic_duopoly,test,30070,111.5825,1.0
before,before,dqn_dynamic_duopoly,test,30071,69.9437,1.0
before,before,dqn_dynamic_duopoly,test,30072,110.3047,1.0
before,before,dqn_dynamic_duopoly,test,30073,112.8459,1.0
before,before,dqn_dynamic_duopoly,test,30074,56.726,1.0
before,before,dqn_dynamic_duopoly,test,30075,74.6555,1.0
before,before,dqn_dynamic_duopoly,test,30076,90.9704,1.0
before,before,dqn_dynamic_duopoly,test,30077,108.3075,1.0
before,before,dqn_dynamic_duopoly,test,30078,73.948,1.0
before,before,dqn_dynamic_duopoly,test,30079,66.9266,1.0
before,before,dqn_dynamic_duopoly,test,30080,116.4163,1.0
before,before,dqn_dynamic_duopoly,test,30081,73.1028,1.0
before,before,dqn_dynamic_duopoly,test,30082,88.062,1.0
before,before,dqn_dynamic_duopoly,test,30083,49.087,1.0
before,before,dqn_dynamic_duopoly,test,30084,36.0435,1.0
before,before,dqn_dynamic_duopoly,test,30085,85.4411,1.0
before,before,dqn_dynamic_duopoly,test,30086,122.1446,1.0
before,before,dqn_dynamic_duopoly,test,30087,49.5104,1.0
before,before,dqn_dynamic_duopoly,test,30088,80.8726,1.0
before,before,dqn_dynamic_duopoly,test,30089,80.9421,1.0
before,before,dqn_dynamic_duopoly,test,30090,68.6006,1.0
before,before,dqn_dynamic_duopoly,test,30091,61.821,1.0
before,before,dqn_dynamic_duopoly,test,30092,79.7867,1.0
before,before,dqn_dynamic_duopoly,test,30093,132.0863,1.0
before,before,dqn_dynamic_duopoly,test,30094,76.7193,1.0
before,before,dqn_dynamic_duopoly,test,30095,77.0448,1.0
before,before,dqn_dynamic_duopoly,test,30096,41.8218,1.0
before,before,dqn_dynamic_duopoly,test,30097,89.7262,1.0
before,before,dqn_dynamic_duopoly,test,30098,36.716,1.0
before,before,dqn_dynamic_duopoly,test,30099,114.5977,1.0
before,before,dqn_dynamic_duopoly,test,30100,110.4858,1.0
before,before,dqn_dynamic_duopoly,test,30101,50.6966,1.0
before,before,dqn_dynamic_duopoly,test,30102,129.5692,1.0
before,before,dqn_dynamic_duopoly,test,30103,93.9764,1.0
before,before,dqn_dynamic_duopoly,test,30104,76.7095,1.0
before,before,dqn_dynamic_duopoly,test,30105,78.4612,1.0
before,before,dqn_dynamic_duopoly,test,30106,104.9952,1.0
