policy,mode,agent_order,seed_set,seed,shortfall_bps,completion_rate
lookahead,constant_duopoly,before,test,30000,147.8354,1.000000
twap,constant_duopoly,before,test,30000,135.5330,1.000000
lookahead,constant_duopoly,before,test,30001,138.0628,1.000000
twap,constant_duopoly,before,test,30001,130.2673,1.000000
lookahead,constant_duopoly,before,test,30002,141.4266,1.000000
twap,constant_duopoly,before,test,30002,139.9927,1.000000
lookahead,constant_duopoly,before,test,30003,106.6805,1.000000
twap,constant_duopoly,before,test,30003,105.2988,1.000000
lookahead,constant_duopoly,before,test,30004,74.2125,1.000000
twap,constant_duopoly,before,test,30004,101.0014,1.000000
lookahead,constant_duopoly,before,test,30005,138.8587,1.000000
twap,constant_duopoly,before,test,30005,131.2892,1.000000
lookahead,constant_duopoly,before,test,30006,164.7079,1.000000
twap,constant_duopoly,before,test,30006,127.6849,1.000000
lookahead,constant_duopoly,before,test,30007,83.0037,1.000000
twap,constant_duopoly,before,test,30007,95.7663,1.000000
lookahead,constant_duopoly,before,test,30008,81.0575,1.000000
twap,constant_duopoly,before,test,30008,111.7917,1.000000
lookahead,constant_duopoly,before,test,30009,152.1056,1.000000
twap,constant_duopoly,before,test,30009,146.2489,1.000000
lookahead,constant_duopoly,before,test,30010,67.9854,1.000000
twap,constant_duopoly,before,test,30010,109.2061,1.000000
lookahead,constant_duopoly,before,test,30011,147.9167,1.000000
twap,constant_duopoly,before,test,30011,124.0268,1.000000
lookahead,constant_duopoly,before,test,30012,129.7344,1.000000
twap,constant_duopoly,before,test,30012,128.9998,1.000000
lookahead,constant_duopoly,before,test,30013,134.2719,1.000000
twap,constant_duopoly,before,test,30013,125.8746,1.000000
lookahead,constant_duopoly,before,test,30014,120.4213,1.000000
twap,constant_duopoly,before,test,30014,113.5170,1.000000
lookahead,constant_duopoly,before,test,30015,147.3922,1.000000
twap,constant_duopoly,before,test,30015,129.8716,1.000000
lookahead,constant_duopoly,before,test,30016,78.4704,1.000000
twap,constant_duopoly,before,test,30016,115.0309,1.000000
lookahead,constant_duopoly,before,test,30017,124.1638,1.000000
twap,constant_duopoly,before,test,30017,129.2052,1.000000
lookahead,constant_duopoly,before,test,30018,75.2457,1.000000
twap,constant_duopoly,before,test,30018,110.8234,1.000000
lookahead,constant_duopoly,before,test,30019,130.5284,1.000000
twap,constant_duopoly,before,test,30019,119.7727,1.000000
lookahead,constant_duopoly,before,test,30020,128.0023,1.000000
twap,constant_duopoly,before,test,30020,145.2614,1.000000
lookahead,constant_duopoly,before,test,30021,96.2116,1.000000
twap,constant_duopoly,before,test,30021,94.5876,1.000000
lookahead,constant_duopoly,before,test,30022,81.1725,1.000000
twap,constant_duopoly,before,test,30022,94.8901,1.000000
lookahead,constant_duopoly,before,test,30023,105.6563,1.000000
twap,constant_duopoly,before,test,30023,117.6341,1.000000
lookahead,constant_duopoly,before,test,30024,102.4500,1.000000
twap,constant_duopoly,before,test,30024,117.2149,1.000000
lookahead,constant_duopoly,before,test,30025,173.4333,1.000000
twap,constant_duopoly,before,test,30025,129.8098,1.000000
lookahead,constant_duopoly,before,test,30026,148.1304,1.000000
twap,constant_duopoly,before,test,30026,125.7724,1.000000
lookahead,constant_duopoly,before,test,30027,96.4103,1.000000
twap,constant_duopoly,before,test,30027,117.3207,1.000000
lookahead,constant_duopoly,before,test,30028,65.4283,1.000000
twap,constant_duopoly,before,test,30028,109.1640,1.000000
lookahead,constant_duopoly,before,test,30029,103.3830,1.000000
twap,constant_duopoly,before,test,30029,115.0964,1.000000
lookahead,constant_duopoly,before,test,30030,127.7931,1.000000
twap,constant_duopoly,before,test,30030,122.2059,1.000000
lookahead,constant_duopoly,before,test,30031,87.0445,1.000000
twap,constant_duopoly,before,test,30031,111.5753,1.000000
lookahead,constant_duopoly,before,test,30032,133.0282,1.000000
twap,constant_duopoly,before,test,30032,135.1797,1.000000
lookahead,constant_duopoly,before,test,30033,105.1124,1.000000
twap,constant_duopoly,before,test,30033,118.8311,1.000000
lookahead,constant_duopoly,before,test,30034,139.2068,1.000000
twap,constant_duopoly,before,test,30034,137.1467,1.000000
lookahead,constant_duopoly,before,test,30035,146.1338,1.000000
twap,constant_duopoly,before,test,30035,129.6545,1.000000
lookahead,constant_duopoly,before,test,30036,115.1853,1.000000
twap,constant_duopoly,before,test,30036,129.2031,1.000000
lookahead,constant_duopoly,before,test,30037,128.4463,1.000000
twap,constant_duopoly,before,test,30037,119.2224,1.000000
lookahead,constant_duopoly,before,test,30038,52.4468,1.000000
twap,constant_duopoly,before,test,30038,93.7409,1.000000
lookahead,constant_duopoly,before,test,30039,99.2352,1.000000
twap,constant_duopoly,before,test,30039,117.9675,1.000000
lookahead,constant_duopoly,before,test,30040,84.2736,1.000000
twap,constant_duopoly,before,test,30040,100.7229,1.000000
lookahead,constant_duopoly,before,test,30041,152.1444,1.000000
twap,constant_duopoly,before,test,30041,135.2213,1.000000
lookahead,constant_duopoly,before,test,30042,100.2157,1.000000
twap,constant_duopoly,before,test,30042,128.2510,1.000000
lookahead,constant_duopoly,before,test,30043,61.3201,1.000000
twap,constant_duopoly,before,test,30043,89.2852,1.000000
lookahead,constant_duopoly,before,test,30044,102.1118,1.000000
twap,constant_duopoly,before,test,30044,104.1070,1.000000
lookahead,constant_duopoly,before,test,30045,113.7832,1.000000
twap,constant_duopoly,before,test,30045,115.2966,1.000000
lookahead,constant_duopoly,before,test,30046,98.6922,1.000000
twap,constant_duopoly,before,test,30046,105.6643,1.000000
lookahead,constant_duopoly,before,test,30047,165.9555,1.000000
twap,constant_duopoly,before,test,30047,123.5190,1.000000
lookahead,constant_duopoly,before,test,30048,78.4716,1.000000
twap,constant_duopoly,before,test,30048,96.9455,1.000000
lookahead,constant_duopoly,before,test,30049,119.6666,1.000000
twap,constant_duopoly,before,test,30049,111.6073,1.000000
lookahead,constant_duopoly,before,test,30050,129.7105,1.000000
twap,constant_duopoly,before,test,30050,134.8928,1.000000
lookahead,constant_duopoly,before,test,30051,187.6248,1.000000
twap,constant_duopoly,before,test,30051,135.9829,1.000000
lookahead,constant_duopoly,before,test,30052,147.4192,1.000000
twap,constant_duopoly,before,test,30052,147.9610,1.000000
lookahead,constant_duopoly,before,test,30053,93.6006,1.000000
twap,constant_duopoly,before,test,30053,107.7993,1.000000
lookahead,constant_duopoly,before,test,30054,160.0832,1.000000
twap,constant_duopoly,before,test,30054,130.3286,1.000000
lookahead,constant_duopoly,before,test,30055,93.5796,1.000000
twap,constant_duopoly,before,test,30055,109.6057,1.000000
lookahead,constant_duopoly,before,test,30056,118.3855,1.000000
twap,constant_duopoly,before,test,30056,119.0904,1.000000
lookahead,constant_duopoly,before,test,30057,139.0577,1.000000
twap,constant_duopoly,before,test,30057,115.5250,1.000000
lookahead,constant_duopoly,before,test,30058,116.0306,1.000000
twap,constant_duopoly,before,test,30058,108.3675,1.000000
lookahead,constant_duopoly,before,test,30059,87.6795,1.000000
twap,constant_duopoly,before,test,30059,116.7756,1.000000
lookahead,constant_duopoly,before,test,30060,145.1574,1.000000
twap,constant_duopoly,before,test,30060,134.8627,1.000000
lookahead,constant_duopoly,before,test,30061,142.1289,1.000000
twap,constant_duopoly,before,test,30061,115.9112,1.000000
lookahead,constant_duopoly,before,test,30062,158.6696,1.000000
twap,constant_duopoly,before,test,30062,130.6627,1.000000
lookahead,constant_duopoly,before,test,30063,99.1919,1.000000
twap,constant_duopoly,before,test,30063,105.8172,1.000000
lookahead,constant_duopoly,before,test,30064,83.0453,1.000000
twap,constant_duopoly,before,test,30064,113.4515,1.000000
lookahead,constant_duopoly,before,test,30065,114.4171,1.000000
twap,constant_duopoly,before,test,30065,123.9239,1.000000
lookahead,constant_duopoly,before,test,30066,59.5895,1.000000
twap,constant_duopoly,before,test,30066,102.0734,1.000000
lookahead,constant_duopoly,before,test,30067,140.3483,1.000000
twap,constant_duopoly,before,test,30067,145.3630,1.000000
lookahead,constant_duopoly,before,test,30068,141.5542,1.000000
twap,constant_duopoly,before,test,30068,125.6878,1.000000
lookahead,constant_duopoly,before,test,30069,110.3042,1.000000
twap,constant_duopoly,before,test,30069,117.5855,1.000000
lookahead,constant_duopoly,before,test,30070,131.6445,1.000000
twap,constant_duopoly,before,test,30070,126.9220,1.000000
lookahead,constant_duopoly,before,test,30071,115.2653,1.000000
twap,constant_duopoly,before,test,30071,108.6096,1.000000
lookahead,constant_duopoly,before,test,30072,141.6791,1.000000
twap,constant_duopoly,before,test,30072,133.4383,1.000000
lookahead,constant_duopoly,before,test,30073,149.9595,1.000000
twap,constant_duopoly,before,test,30073,141.2685,1.000000
lookahead,constant_duopoly,before,test,30074,90.9738,1.000000
twap,constant_duopoly,before,test,30074,119.7814,1.000000
lookahead,constant_duopoly,before,test,30075,97.1178,1.000000
twap,constant_duopoly,before,test,30075,112.8124,1.000000
lookahead,constant_duopoly,before,test,30076,106.5676,1.000000
twap,constant_duopoly,before,test,30076,117.9119,1.000000
lookahead,constant_duopoly,before,test,30077,133.2327,1.000000
twap,constant_duopoly,before,test,30077,123.0478,1.000000
lookahead,constant_duopoly,before,test,30078,85.3318,1.000000
twap,constant_duopoly,before,test,30078,121.0965,1.000000
lookahead,constant_duopoly,before,test,30079,85.0211,1.000000
twap,constant_duopoly,before,test,30079,100.5185,1.000000
lookahead,constant_duopoly,before,test,30080,146.0452,1.000000
twap,constant_duopoly,before,test,30080,138.1527,1.000000
lookahead,constant_duopoly,before,test,30081,80.7630,1.000000
twap,constant_duopoly,before,test,30081,109.5051,1.000000
lookahead,constant_duopoly,before,test,30082,130.1824,1.000000
twap,constant_duopoly,before,test,30082,115.5527,1.000000
lookahead,constant_duopoly,before,test,30083,69.2214,1.000000
twap,constant_duopoly,before,test,30083,94.2739,1.000000
lookahead,constant_duopoly,before,test,30084,60.7387,1.000000
twap,constant_duopoly,before,test,30084,91.5316,1.000000
lookahead,constant_duopoly,before,test,30085,132.3740,1.000000
twap,constant_duopoly,before,test,30085,114.3137,1.000000
lookahead,constant_duopoly,before,test,30086,137.4194,1.000000
twap,constant_duopoly,before,test,30086,134.8170,1.000000
lookahead,constant_duopoly,before,test,30087,70.4316,1.000000
twap,constant_duopoly,before,test,30087,100.3199,1.000000
lookahead,constant_duopoly,before,test,30088,108.4579,1.000000
twap,constant_duopoly,before,test,30088,111.8365,1.000000
lookahead,constant_duopoly,before,test,30089,93.8323,1.000000
twap,constant_duopoly,before,test,30089,126.9496,1.000000
lookahead,constant_duopoly,before,test,30090,94.0996,1.000000
twap,constant_duopoly,before,test,30090,108.1372,1.000000
lookahead,constant_duopoly,before,test,30091,96.5075,1.000000
twap,constant_duopoly,before,test,30091,117.8263,1.000000
lookahead,constant_duopoly,before,test,30092,116.9869,1.000000
twap,constant_duopoly,before,test,30092,122.0892,1.000000
lookahead,constant_duopoly,before,test,30093,171.7828,1.000000
twap,constant_duopoly,before,test,30093,137.0999,1.000000
lookahead,constant_duopoly,before,test,30094,118.4949,1.000000
twap,constant_duopoly,before,test,30094,117.5211,1.000000
lookahead,constant_duopoly,before,test,30095,110.7883,1.000000
twap,constant_duopoly,before,test,30095,113.7331,1.000000
lookahead,constant_duopoly,before,test,30096,35.7223,1.000000
twap,constant_duopoly,before,test,30096,117.3024,1.000000
lookahead,constant_duopoly,before,test,30097,122.0117,1.000000
twap,constant_duopoly,before,test,30097,115.3016,1.000000
lookahead,constant_duopoly,before,test,30098,79.8633,1.000000
twap,constant_duopoly,before,test,30098,98.8270,1.000000
lookahead,constant_duopoly,before,test,30099,129.7557,1.000000
twap,constant_duopoly,before,test,30099,131.2376,1.000000
lookahead,constant_duopoly,before,test,30100,147.2741,1.000000
twap,constant_duopoly,before,test,30100,136.5105,1.000000
lookahead,constant_duopoly,before,test,30101,89.7644,1.000000
twap,constant_duopoly,before,test,30101,111.5003,1.000000
lookahead,constant_duopoly,before,test,30102,164.5866,1.000000
twap,constant_duopoly,before,test,30102,142.7108,1.000000
lookahead,constant_duopoly,before,test,30103,105.8868,1.000000
twap,constant_duopoly,before,test,30103,117.2477,1.000000
lookahead,constant_duopoly,before,test,30104,101.1858,1.000000
twap,constant_duopoly,before,test,30104,118.3940,1.000000
lookahead,constant_duopoly,before,test,30105,117.5019,1.000000
twap,constant_duopoly,before,test,30105,117.6057,1.000000
lookahead,constant_duopoly,before,test,30106,119.4320,1.000000
twap,constant_duopoly,before,test,30106,128.1279,1.000000
lookahead,constant_duopoly,before,test,30107,110.9573,1.000000
twap,constant_duopoly,before,test,30107,118.2032,1.000000
lookahead,constant_duopoly,before,test,30108,110.3576,1.000000
twap,constant_duopoly,before,test,30108,118.7115,1.000000
lookahead,constant_duopoly,before,test,30109,119.0481,1.000000
twap,constant_duopoly,before,test,30109,117.5275,1.000000
lookahead,constant_duopoly,before,test,30110,77.3796,1.000000
twap,constant_duopoly,before,test,30110,112.8914,1.000000
lookahead,constant_duopoly,before,test,30111,81.8818,1.000000
