policy,mode,agent_order,seed_set,seed,shortfall_bps,completion_rate
lookahead,dynamic_duopoly,before,final,90000,121.3227,1.000000
twap,dynamic_duopoly,before,final,90000,122.3133,1.000000
lookahead,dynamic_duopoly,before,final,90001,127.9903,1.000000
twap,dynamic_duopoly,before,final,90001,116.3612,1.000000
lookahead,dynamic_duopoly,before,final,90002,126.4684,1.000000
twap,dynamic_duopoly,before,final,90002,121.3247,1.000000
lookahead,dynamic_duopoly,before,final,90003,128.5477,1.000000
twap,dynamic_duopoly,before,final,90003,112.9871,1.000000
lookahead,dynamic_duopoly,before,final,90004,137.1189,1.000000
twap,dynamic_duopoly,before,final,90004,113.4110,1.000000
lookahead,dynamic_duopoly,before,final,90005,120.4452,1.000000
twap,dynamic_duopoly,before,final,90005,95.7893,1.000000
lookahead,dynamic_duopoly,before,final,90006,84.5203,1.000000
twap,dynamic_duopoly,before,final,90006,104.6016,1.000000
lookahead,dynamic_duopoly,before,final,90007,101.1796,1.000000
twap,dynamic_duopoly,before,final,90007,96.7242,1.000000
lookahead,dynamic_duopoly,before,final,90008,33.7709,1.000000
twap,dynamic_duopoly,before,final,90008,88.7326,1.000000
lookahead,dynamic_duopoly,before,final,90009,109.3099,1.000000
twap,dynamic_duopoly,before,final,90009,124.7584,1.000000
lookahead,dynamic_duopoly,before,final,90010,134.2982,1.000000
twap,dynamic_duopoly,before,final,90010,126.7149,1.000000
lookahead,dynamic_duopoly,before,final,90011,108.5789,1.000000
twap,dynamic_duopoly,before,final,90011,106.6144,1.000000
lookahead,dynamic_duopoly,before,final,90012,114.3977,1.000000
twap,dynamic_duopoly,before,final,90012,109.5626,1.000000
lookahead,dynamic_duopoly,before,final,90013,94.9934,1.000000
twap,dynamic_duopoly,before,final,90013,112.9845,1.000000
lookahead,dynamic_duopoly,before,final,90014,65.6869,1.000000
twap,dynamic_duopoly,before,final,90014,80.3824,1.000000
lookahead,dynamic_duopoly,before,final,90015,103.1826,1.000000
twap,dynamic_duopoly,before,final,90015,98.9107,1.000000
lookahead,dynamic_duopoly,before,final,90016,98.4790,1.000000
twap,dynamic_duopoly,before,final,90016,111.9316,1.000000
lookahead,dynamic_duopoly,before,final,90017,90.2118,1.000000
twap,dynamic_duopoly,before,final,90017,114.4752,1.000000
lookahead,dynamic_duopoly,before,final,90018,141.3170,1.000000
twap,dynamic_duopoly,before,final,90018,128.9386,1.000000
lookahead,dynamic_duopoly,before,final,90019,106.6055,1.000000
twap,dynamic_duopoly,before,final,90019,124.8347,1.000000
lookahead,dynamic_duopoly,before,final,90020,111.3232,1.000000
twap,dynamic_duopoly,before,final,90020,118.9230,1.000000
lookahead,dynamic_duopoly,before,final,90021,80.4083,1.000000
twap,dynamic_duopoly,before,final,90021,83.0729,1.000000
lookahead,dynamic_duopoly,before,final,90022,105.3181,1.000000
twap,dynamic_duopoly,before,final,90022,117.3670,1.000000
lookahead,dynamic_duopoly,before,final,90023,139.1467,1.000000
twap,dynamic_duopoly,before,final,90023,127.0998,1.000000
lookahead,dynamic_duopoly,before,final,90024,138.3889,1.000000
twap,dynamic_duopoly,before,final,90024,133.7959,1.000000
lookahead,dynamic_duopoly,before,final,90025,103.4114,1.000000
twap,dynamic_duopoly,before,final,90025,103.4876,1.000000
lookahead,dynamic_duopoly,before,final,90026,93.2618,1.000000
twap,dynamic_duopoly,before,final,90026,106.8724,1.000000
