policy,mode,agent_order,seed_set,seed,shortfall_bps,completion_rate
lookahead,dynamic_duopoly,before,final,90000,114.9433,1.000000
twap,dynamic_duopoly,before,final,90000,122.3133,1.000000
lookahead,dynamic_duopoly,before,final,90001,128.1203,1.000000
twap,dynamic_duopoly,before,final,90001,116.3612,1.000000
lookahead,dynamic_duopoly,before,final,90002,132.3231,1.000000
twap,dynamic_duopoly,before,final,90002,121.3247,1.000000
lookahead,dynamic_duopoly,before,final,90003,101.3750,1.000000
twap,dynamic_duopoly,before,final,90003,112.9871,1.000000
lookahead,dynamic_duopoly,before,final,90004,132.7952,1.000000
twap,dynamic_duopoly,before,final,90004,113.4110,1.000000
lookahead,dynamic_duopoly,before,final,90005,146.6645,1.000000
twap,dynamic_duopoly,before,final,90005,95.7893,1.000000
lookahead,dynamic_duopoly,before,final,90006,90.8533,1.000000
twap,dynamic_duopoly,before,final,90006,104.6016,1.000000
lookahead,dynamic_duopoly,before,final,90007,90.8217,1.000000
twap,dynamic_duopoly,before,final,90007,96.7242,1.000000
lookahead,dynamic_duopoly,before,final,90008,69.6128,1.000000
twap,dynamic_duopoly,before,final,90008,88.7326,1.000000
lookahead,dynamic_duopoly,before,final,90009,128.5299,1.000000
twap,dynamic_duopoly,before,final,90009,124.7584,1.000000
lookahead,dynamic_duopoly,before,final,90010,106.1069,1.000000
twap,dynamic_duopoly,before,final,90010,126.7149,1.000000
lookahead,dynamic_duopoly,before,final,90011,119.7797,1.000000
twap,dynamic_duopoly,before,final,90011,106.6144,1.000000
lookahead,dynamic_duopoly,before,final,90012,128.0895,1.000000
twap,dynamic_duopoly,before,final,90012,109.5626,1.000000
lookahead,dynamic_duopoly,before,final,90013,80.2898,1.000000
twap,dynamic_duopoly,before,final,90013,112.9845,1.000000
lookahead,dynamic_duopoly,before,final,90014,36.4278,1.000000
twap,dynamic_duopoly,before,final,90014,80.3824,1.000000
lookahead,dynamic_duopoly,before,final,90015,137.9439,1.000000
twap,dynamic_duopoly,before,final,90015,98.9107,1.000000
lookahead,dynamic_duopoly,before,final,90016,109.9277,1.000000
twap,dynamic_duopoly,before,final,90016,111.9316,1.000000
lookahead,dynamic_duopoly,before,final,90017,104.8120,1.000000
twap,dynamic_duopoly,before,final,90017,114.4752,1.000000
lookahead,dynamic_duopoly,before,final,90018,138.1381,1.000000
twap,dynamic_duopoly,before,final,90018,128.9386,1.000000
lookahead,dynamic_duopoly,before,final,90019,121.4972,1.000000
twap,dynamic_duopoly,before,final,90019,124.8347,1.000000
lookahead,dynamic_duopoly,before,final,90020,116.5154,1.000000
