policy,seed_set,seed,shortfall_bps,completion_rate
stochastic_planner,test,30000,142.6690,1.0000
lookahead,test,30000,134.8192,1.0000
twap,test,30000,128.0424,1.0000
stochastic_planner,test,30001,129.7744,1.0000
lookahead,test,30001,122.2507,1.0000
twap,test,30001,124.2294,1.0000
stochastic_planner,test,30002,105.5932,1.0000
lookahead,test,30002,108.7881,1.0000
twap,test,30002,132.9290,1.0000
stochastic_planner,test,30003,94.9766,1.0000
lookahead,test,30003,121.7602,1.0000
twap,test,30003,104.1621,1.0000
stochastic_planner,test,30004,57.1060,1.0000
lookahead,test,30004,49.6171,1.0000
twap,test,30004,94.7763,1.0000
stochastic_planner,test,30005,120.9881,1.0000
lookahead,test,30005,115.0945,1.0000
twap,test,30005,123.4482,1.0000
stochastic_planner,test,30006,129.4742,1.0000
lookahead,test,30006,132.5284,1.0000
twap,test,30006,118.6201,1.0000
stochastic_planner,test,30007,48.5029,1.0000
lookahead,test,30007,51.8457,1.0000
twap,test,30007,88.2373,1.0000
stochastic_planner,test,30008,79.0953,1.0000
lookahead,test,30008,72.8806,1.0000
twap,test,30008,102.8518,1.0000
stochastic_planner,test,30009,135.0490,1.0000
lookahead,test,30009,135.2341,1.0000
twap,test,30009,137.6230,1.0000
stochastic_planner,test,30010,87.1782,1.0000
lookahead,test,30010,61.8794,1.0000
twap,test,30010,103.5405,1.0000
stochastic_planner,test,30011,105.6684,1.0000
lookahead,test,30011,116.1948,1.0000
twap,test,30011,109.7222,1.0000
stochastic_planner,test,30012,100.0536,1.0000
lookahead,test,30012,106.5785,1.0000
twap,test,30012,122.0287,1.0000
stochastic_planner,test,30013,112.6159,1.0000
lookahead,test,30013,110.5028,1.0000
twap,test,30013,118.3292,1.0000
stochastic_planner,test,30014,98.6949,1.0000
lookahead,test,30014,105.2089,1.0000
twap,test,30014,105.1940,1.0000
stochastic_planner,test,30015,127.5821,1.0000
lookahead,test,30015,128.9240,1.0000
twap,test,30015,121.2596,1.0000
stochastic_planner,test,30016,74.2921,1.0000
lookahead,test,30016,67.9080,1.0000
twap,test,30016,105.3078,1.0000
stochastic_planner,test,30017,106.5366,1.0000
lookahead,test,30017,115.5410,1.0000
twap,test,30017,121.9840,1.0000
stochastic_planner,test,30018,74.4840,1.0000
lookahead,test,30018,66.0576,1.0000
twap,test,30018,104.3027,1.0000
stochastic_planner,test,30019,98.1669,1.0000
lookahead,test,30019,108.9953,1.0000
twap,test,30019,111.1512,1.0000
stochastic_planner,test,30020,112.9015,1.0000
lookahead,test,30020,116.1578,1.0000
twap,test,30020,136.6034,1.0000
stochastic_planner,test,30021,91.1194,1.0000
lookahead,test,30021,81.4968,1.0000
twap,test,30021,90.5229,1.0000
stochastic_planner,test,30022,77.2143,1.0000
lookahead,test,30022,75.9724,1.0000
twap,test,30022,90.2311,1.0000
