policy,seed_set,seed,shortfall_bps,completion_rate
stochastic_planner,final,90000,124.2586,1.0000
lookahead,final,90000,121.3227,1.0000
twap,final,90000,122.3133,1.0000
stochastic_planner,final,90001,146.7588,1.0000
lookahead,final,90001,127.9903,1.0000
twap,final,90001,116.3612,1.0000
stochastic_planner,final,90002,125.1071,1.0000
lookahead,final,90002,126.4684,1.0000
twap,final,90002,121.3247,1.0000
stochastic_planner,final,90003,131.2017,1.0000
lookahead,final,90003,128.5477,1.0000
twap,final,90003,112.9871,1.0000
stochastic_planner,final,90004,142.0281,1.0000
lookahead,final,90004,137.1189,1.0000
twap,final,90004,113.4110,1.0000
stochastic_planner,final,90005,110.7054,1.0000
lookahead,final,90005,120.4452,1.0000
twap,final,90005,95.7893,1.0000
stochastic_planner,final,90006,78.2900,1.0000
lookahead,final,90006,84.5203,1.0000
twap,final,90006,104.6016,1.0000
stochastic_planner,final,90007,99.6470,1.0000
lookahead,final,90007,101.1796,1.0000
twap,final,90007,96.7242,1.0000
stochastic_planner,final,90008,40.2482,1.0000
lookahead,final,90008,33.7709,1.0000
twap,final,90008,88.7326,1.0000
stochastic_planner,final,90009,114.0204,1.0000
lookahead,final,90009,109.3099,1.0000
twap,final,90009,124.7584,1.0000
stochastic_planner,final,90010,127.5006,1.0000
lookahead,final,90010,134.2982,1.0000
twap,final,90010,126.7149,1.0000
stochastic_planner,final,90011,80.5973,1.0000
lookahead,final,90011,108.5789,1.0000
twap,final,90011,106.6144,1.0000
stochastic_planner,final,90012,106.5786,1.0000
lookahead,final,90012,114.3977,1.0000
twap,final,90012,109.5626,1.0000
stochastic_planner,final,90013,89.0085,1.0000
lookahead,final,90013,94.9934,1.0000
twap,final,90013,112.9845,1.0000
stochastic_planner,final,90014,55.7945,1.0000
lookahead,final,90014,65.6869,1.0000
twap,final,90014,80.3824,1.0000
stochastic_planner,final,90015,95.6926,1.0000
lookahead,final,90015,103.1826,1.0000
twap,final,90015,98.9107,1.0000
stochastic_planner,final,90016,115.6111,1.0000
lookahead,final,90016,98.4790,1.0000
twap,final,90016,111.9316,1.0000
stochastic_planner,final,90017,87.2171,1.0000
lookahead,final,90017,90.2118,1.0000
twap,final,90017,114.4752,1.0000
stochastic_planner,final,90018,131.3261,1.0000
lookahead,final,90018,141.3170,1.0000
twap,final,90018,128.9386,1.0000
stochastic_planner,final,90019,104.6986,1.0000
lookahead,final,90019,106.6055,1.0000
twap,final,90019,124.8347,1.0000
stochastic_planner,final,90020,105.0847,1.0000
lookahead,final,90020,111.3232,1.0000
twap,final,90020,118.9230,1.0000
stochastic_planner,final,90021,79.9148,1.0000
lookahead,final,90021,80.4083,1.0000
twap,final,90021,83.0729,1.0000
stochastic_planner,final,90022,109.7230,1.0000
lookahead,final,90022,105.3181,1.0000
twap,final,90022,117.3670,1.0000
stochastic_planner,final,90023,141.3201,1.0000
lookahead,final,90023,139.1467,1.0000
twap,final,90023,127.0998,1.0000
stochastic_planner,final,90024,121.1953,1.0000
lookahead,final,90024,138.3889,1.0000
twap,final,90024,133.7959,1.0000
stochastic_planner,final,90025,105.7007,1.0000
lookahead,final,90025,103.4114,1.0000
twap,final,90025,103.4876,1.0000
stochastic_planner,final,90026,104.1061,1.0000
lookahead,final,90026,93.2618,1.0000
twap,final,90026,106.8724,1.0000
stochastic_planner,final,90027,123.7413,1.0000
lookahead,final,90027,115.8900,1.0000
twap,final,90027,116.5473,1.0000
stochastic_planner,final,90028,111.1787,1.0000
lookahead,final,90028,107.1133,1.0000
twap,final,90028,101.5648,1.0000
stochastic_planner,final,90029,89.2761,1.0000
lookahead,final,90029,84.0191,1.0000
twap,final,90029,105.4128,1.0000
stochastic_planner,final,90030,133.6159,1.0000
lookahead,final,90030,125.5437,1.0000
twap,final,90030,132.5179,1.0000
stochastic_planner,final,90031,115.1866,1.0000
lookahead,final,90031,110.4709,1.0000
twap,final,90031,128.1583,1.0000
stochastic_planner,final,90032,97.0770,1.0000
lookahead,final,90032,76.5009,1.0000
twap,final,90032,114.9712,1.0000
stochastic_planner,final,90033,61.2982,1.0000
lookahead,final,90033,74.5360,1.0000
twap,final,90033,96.0076,1.0000
stochastic_planner,final,90034,122.1878,1.0000
