variant,seed,shortfall_bps,completion_rate,route_share_a
original,30000,108.4898,1.0,0.7704
original,30001,98.8883,1.0,0.7185
original,30002,120.8223,1.0,0.8141
original,30003,86.0601,1.0,0.6879
original,30004,38.036,1.0,0.9067
original,30005,102.5902,1.0,0.7491
original,30006,128.6795,1.0,0.7758
original,30007,44.2152,1.0,0.8754
original,30008,75.9881,1.0,0.8111
original,30009,147.0989,1.0,0.4788
original,30010,41.2087,1.0,0.9936
original,30011,105.5739,1.0,0.6298
original,30012,90.35,1.0,0.7795
original,30013,82.7385,1.0,0.7199
original,30014,91.7799,1.0,0.6966
original,30015,93.9655,1.0,0.7273
original,30016,52.2022,1.0,0.8891
original,30017,88.7314,1.0,0.7304
original,30018,39.2837,1.0,0.9196
original,30019,92.5176,1.0,0.8555
original,30020,126.9754,1.0,0.7339
original,30021,53.8813,1.0,0.7931
original,30022,56.4766,1.0,0.9931
original,30023,87.0056,1.0,0.708
original,30024,72.8853,1.0,0.8853
original,30025,108.0864,1.0,0.7327
original,30026,104.9744,1.0,0.6388
original,30027,74.8797,1.0,0.8764
original,30028,60.5316,1.0,0.8252
original,30029,72.048,1.0,0.8154
original,30030,95.6168,1.0,0.7755
original,30031,53.444,1.0,0.9418
original,30032,93.8179,1.0,0.8146
original,30033,68.2735,1.0,0.8406
original,30034,108.4448,1.0,0.7595
original,30035,114.0639,1.0,0.7565
original,30036,84.5519,1.0,0.7942
original,30037,90.1826,1.0,0.8414
original,30038,36.7513,1.0,0.8332
original,30039,70.0129,1.0,0.7563
original,30040,58.0001,1.0,0.6567
original,30041,103.0676,1.0,0.9402
original,30042,84.7308,1.0,0.7692
original,30043,44.9041,1.0,0.8687
original,30044,52.1847,1.0,0.9787
original,30045,97.0282,1.0,0.8445
original,30046,87.2022,1.0,0.8497
original,30047,110.9513,1.0,0.78
original,30048,46.4625,1.0,0.953
original,30049,102.0696,1.0,0.7265
original,30050,82.3974,1.0,0.8064
original,30051,130.7804,1.0,0.5678
original,30052,114.6606,1.0,0.6739
original,30053,75.0056,1.0,0.8178
original,30054,112.1757,1.0,0.5669
original,30055,83.3052,1.0,0.7557
original,30056,111.8301,1.0,0.7154
original,30057,88.4749,1.0,0.609
original,30058,86.3611,1.0,0.7288
original,30059,51.1429,1.0,0.8086
original,30060,96.9537,1.0,0.7435
original,30061,120.5998,1.0,0.5771
original,30062,134.5149,1.0,0.6655
original,30063,68.852,1.0,0.9004
original,30064,63.1952,1.0,0.9345
