extension,regime,policy,seed,shortfall_bps,completion_rate,fee_bps,gas_bps,slippage_ex_fee_bps,drift_bps,forced_terminal_cost_bps,route_share_A,route_share_B,wait_share,avg_depth_factor,min_depth_factor,jit_event_count
jit,none,lookahead,96000,109.4970,1.000000,40.2061,8.8000,62.6275,-2.1366,0.8230,0.4940,0.5060,0.6400,1.0000,1.0000,0
jit,none,twap,96000,118.2525,1.000000,42.9651,20.8000,51.5366,2.9509,0.8202,0.5299,0.4701,0.0000,1.0000,1.0000,0
jit,none,lookahead,96001,68.0773,1.000000,37.9296,9.6000,51.0875,-30.5398,0.8086,0.4882,0.5118,0.5800,1.0000,1.0000,0
jit,none,twap,96001,101.5077,1.000000,42.5814,20.8000,50.8032,-12.6769,0.8125,0.5494,0.4506,0.0000,1.0000,1.0000,0
jit,none,lookahead,96002,113.2233,1.000000,36.9453,10.0000,47.9670,18.3110,0.8125,0.4011,0.5989,0.5600,1.0000,1.0000,0
jit,none,twap,96002,132.4548,1.000000,42.9427,20.8000,51.4379,17.2741,0.8277,0.6523,0.3477,0.0000,1.0000,1.0000,0
jit,none,lookahead,96003,121.2221,1.000000,39.4005,9.2000,57.9275,14.6942,0.8171,0.4827,0.5173,0.6200,1.0000,1.0000,0
jit,none,twap,96003,122.4503,1.000000,42.7738,20.8000,51.1110,7.7655,0.8226,0.7600,0.2400,0.0000,1.0000,1.0000,0
jit,none,lookahead,96004,87.2749,1.000000,38.2057,10.0000,50.4668,-11.3976,0.8014,0.4434,0.5566,0.5600,1.0000,1.0000,0
jit,none,twap,96004,117.1824,1.000000,42.8202,20.8000,51.2463,2.3159,0.8189,0.6330,0.3670,0.0000,1.0000,1.0000,0
jit,none,lookahead,96005,146.7460,1.000000,38.0081,9.6000,51.3464,47.7915,0.8185,0.5413,0.4587,0.5600,1.0000,1.0000,0
jit,none,twap,96005,123.4284,1.000000,41.9340,20.8000,49.4727,11.2218,0.8449,0.4911,0.5089,0.0000,1.0000,1.0000,0
jit,none,lookahead,96006,132.2898,1.000000,36.7584,9.6000,50.1659,35.7654,0.8316,0.6013,0.3987,0.6000,1.0000,1.0000,0
jit,none,twap,96006,127.4013,1.000000,41.4160,20.8000,48.4712,16.7141,0.8436,0.5235,0.4765,0.0000,1.0000,1.0000,0
jit,none,lookahead,96007,111.2725,1.000000,40.9589,10.0000,56.3434,3.9701,0.7987,0.6035,0.3965,0.5800,1.0000,1.0000,0
jit,none,twap,96007,109.5267,1.000000,42.4615,20.8000,50.6006,-4.3354,0.7951,0.5086,0.4914,0.0000,1.0000,1.0000,0
jit,none,lookahead,96008,115.5593,1.000000,32.8952,9.6000,44.7190,28.3451,0.8039,0.6202,0.3798,0.6000,1.0000,1.0000,0
jit,none,twap,96008,118.9135,1.000000,40.0043,20.8000,45.7422,12.3670,0.8106,0.5245,0.4755,0.0000,1.0000,1.0000,0
jit,none,lookahead,96009,91.6431,1.000000,39.9592,9.2000,62.1278,-19.6439,0.7930,0.5751,0.4249,0.6200,1.0000,1.0000,0
jit,none,twap,96009,112.3325,1.000000,42.2040,20.8000,50.0748,-0.7463,0.7922,0.5934,0.4066,0.0000,1.0000,1.0000,0
jit,none,lookahead,96010,128.9205,1.000000,35.3585,10.0000,46.3610,37.2010,0.8173,0.4684,0.5316,0.5800,1.0000,1.0000,0
jit,none,twap,96010,120.8254,1.000000,41.3243,20.8000,48.2576,10.4436,0.8391,0.5889,0.4111,0.0000,1.0000,1.0000,0
jit,none,lookahead,96011,134.5992,1.000000,38.9403,9.6000,54.4463,31.6126,0.8220,0.5941,0.4059,0.6000,1.0000,1.0000,0
jit,none,twap,96011,126.0932,1.000000,40.1876,20.8000,46.0676,19.0380,0.8308,0.5282,0.4718,0.0000,1.0000,1.0000,0
jit,none,lookahead,96012,69.6749,1.000000,38.5227,9.6000,53.6617,-32.1096,0.8138,0.6141,0.3859,0.6000,1.0000,1.0000,0
jit,none,twap,96012,108.6018,1.000000,42.3346,20.8000,50.3415,-4.8744,0.8303,0.5037,0.4963,0.0000,1.0000,1.0000,0
jit,none,lookahead,96013,142.2984,1.000000,37.6409,9.6000,50.5000,44.5575,0.8187,0.4640,0.5360,0.5800,1.0000,1.0000,0
jit,none,twap,96013,136.3055,1.000000,41.4045,20.8000,48.4162,25.6847,0.8234,0.5315,0.4685,0.0000,1.0000,1.0000,0
jit,none,lookahead,96014,104.7716,1.000000,37.6473,9.2000,54.4518,3.4724,0.8276,0.4660,0.5340,0.6200,1.0000,1.0000,0
jit,none,twap,96014,118.3932,1.000000,41.8854,20.8000,49.4334,6.2744,0.8368,0.5627,0.4373,0.0000,1.0000,1.0000,0
jit,none,lookahead,96015,92.9488,1.000000,42.2191,8.8000,70.4246,-28.4949,0.8053,0.4703,0.5297,0.6400,1.0000,1.0000,0
jit,none,twap,96015,103.1021,1.000000,44.0834,20.8000,53.7332,-15.5145,0.7964,0.4566,0.5434,0.0000,1.0000,1.0000,0
jit,none,lookahead,96016,93.3613,1.000000,41.0729,9.2000,61.2068,-18.1184,0.8052,0.5654,0.4346,0.6200,1.0000,1.0000,0
jit,none,twap,96016,117.5666,1.000000,41.9413,20.8000,49.5413,5.2839,0.8126,0.5413,0.4587,0.0000,1.0000,1.0000,0
jit,none,lookahead,96017,61.7157,1.000000,39.4553,10.4000,51.8221,-39.9616,0.7988,0.4405,0.5595,0.5600,1.0000,1.0000,0
jit,none,twap,96017,104.1313,1.000000,43.6077,20.8000,52.8523,-13.1286,0.7992,0.5240,0.4760,0.0000,1.0000,1.0000,0
