extension,regime,policy,seed,shortfall_bps,completion_rate,fee_bps,gas_bps,slippage_ex_fee_bps,drift_bps,forced_terminal_cost_bps,route_share_A,route_share_B,wait_share,avg_depth_factor,min_depth_factor,jit_event_count
lp,frozen,lookahead,95000,117.0102,1.000000,36.2954,8.8000,58.8670,13.0478,0.8107,0.4797,0.5203,0.6400,1.0000,1.0000,0
lp,frozen,twap,95000,114.9755,1.000000,42.5436,20.8000,50.6992,0.9328,0.8311,0.4373,0.5627,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95001,124.1837,1.000000,37.1535,9.6000,50.9593,26.4709,0.8249,0.4949,0.5051,0.6000,1.0000,1.0000,0
lp,frozen,twap,95001,118.8244,1.000000,40.9057,20.8000,47.4548,9.6639,0.8266,0.5399,0.4601,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95002,64.4645,1.000000,40.4949,9.2000,63.1973,-48.4277,0.7933,0.5975,0.4025,0.6200,1.0000,1.0000,0
lp,frozen,twap,95002,89.9679,1.000000,45.0445,20.8000,55.6568,-31.5334,0.7912,0.5529,0.4471,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95003,141.6863,1.000000,39.8090,9.2000,58.7160,33.9613,0.8306,0.5665,0.4335,0.6200,1.0000,1.0000,0
lp,frozen,twap,95003,115.0837,1.000000,43.3063,20.8000,52.1520,-1.1747,0.8400,0.5782,0.4218,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95004,106.0742,1.000000,39.2217,9.2000,56.7498,0.9027,0.8075,0.4370,0.5630,0.6000,1.0000,1.0000,0
lp,frozen,twap,95004,119.0188,1.000000,41.7147,20.8000,49.0409,7.4632,0.8169,0.5781,0.4219,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95005,86.7827,1.000000,36.3506,10.0000,47.3314,-6.8992,0.8099,0.4142,0.5858,0.5800,1.0000,1.0000,0
lp,frozen,twap,95005,99.0728,1.000000,41.1452,20.8000,48.0389,-10.9112,0.8165,0.5312,0.4688,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95006,120.3626,1.000000,41.4104,9.2000,65.0193,4.7328,0.8019,0.5997,0.4003,0.6200,1.0000,1.0000,0
lp,frozen,twap,95006,115.6435,1.000000,42.4750,20.8000,50.5858,1.7827,0.8069,0.4533,0.5467,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95007,110.0876,1.000000,41.5687,8.8000,64.3189,-4.6000,0.8022,0.5281,0.4719,0.6200,1.0000,1.0000,0
lp,frozen,twap,95007,106.6733,1.000000,43.2882,20.8000,52.1157,-9.5306,0.7985,0.3867,0.6133,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95008,95.9294,1.000000,36.0157,10.0000,44.2040,5.7097,0.8241,0.5297,0.4703,0.5400,1.0000,1.0000,0
lp,frozen,twap,95008,108.9568,1.000000,42.0872,20.8000,49.8628,-3.7932,0.8348,0.5027,0.4973,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95009,96.4835,1.000000,36.8179,10.4000,46.6137,2.6519,0.8113,0.6099,0.3901,0.5600,1.0000,1.0000,0
lp,frozen,twap,95009,108.5900,1.000000,41.9426,20.8000,49.5635,-3.7161,0.8209,0.5065,0.4935,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95010,89.3236,1.000000,38.8938,8.8000,63.9370,-22.3072,0.7963,0.4880,0.5120,0.6400,1.0000,1.0000,0
lp,frozen,twap,95010,98.8155,1.000000,41.5775,20.8000,48.8831,-12.4451,0.7978,0.5570,0.4430,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95011,66.1710,1.000000,41.3727,9.2000,64.9087,-49.3103,0.8001,0.5873,0.4127,0.6200,1.0000,1.0000,0
lp,frozen,twap,95011,94.4981,1.000000,43.3002,20.8000,52.2851,-21.8872,0.7978,0.5545,0.4455,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95012,78.7194,1.000000,36.5310,9.6000,49.1256,-16.5373,0.7978,0.6681,0.3319,0.5800,1.0000,1.0000,0
lp,frozen,twap,95012,95.8535,1.000000,39.5391,20.8000,44.8865,-9.3720,0.7971,0.6140,0.3860,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95013,67.2737,1.000000,39.3542,9.6000,53.8063,-35.4869,0.7935,0.4927,0.5073,0.5800,1.0000,1.0000,0
lp,frozen,twap,95013,83.5782,1.000000,41.0152,20.8000,47.8613,-26.0983,0.7969,0.5181,0.4819,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95014,59.5423,1.000000,40.1193,9.2000,58.5598,-48.3368,0.8012,0.5930,0.4070,0.6000,1.0000,1.0000,0
lp,frozen,twap,95014,101.8719,1.000000,43.2389,20.8000,52.1190,-14.2860,0.7897,0.6699,0.3301,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95015,72.2743,1.000000,36.4331,9.2000,50.5706,-23.9295,0.7997,0.5139,0.4861,0.5800,1.0000,1.0000,0
lp,frozen,twap,95015,97.7976,1.000000,40.2544,20.8000,46.2923,-9.5491,0.8055,0.4920,0.5080,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95016,82.4085,1.000000,38.0971,9.6000,52.8604,-18.1490,0.8038,0.6022,0.3978,0.6000,1.0000,1.0000,0
lp,frozen,twap,95016,112.5827,1.000000,41.6450,20.8000,48.9943,1.1434,0.8035,0.5053,0.4947,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95017,131.5214,1.000000,32.7133,8.8000,47.7849,42.2233,0.8261,0.5311,0.4689,0.6000,1.0000,1.0000,0
lp,frozen,twap,95017,139.4728,1.000000,42.7089,20.8000,50.9636,25.0003,0.8331,0.5772,0.4228,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95018,63.0753,1.000000,39.8252,9.2000,58.7502,-44.7001,0.7888,0.4771,0.5229,0.6200,1.0000,1.0000,0
lp,frozen,twap,95018,78.5181,1.000000,42.1491,20.8000,50.0288,-34.4598,0.7771,0.5637,0.4363,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95019,143.2223,1.000000,35.5248,9.6000,47.6995,50.3980,0.8131,0.5998,0.4002,0.5800,1.0000,1.0000,0
lp,frozen,twap,95019,139.3004,1.000000,40.6148,20.8000,46.8649,31.0208,0.8201,0.5301,0.4699,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95020,118.6882,1.000000,38.5547,8.8000,63.2768,8.0567,0.8106,0.5609,0.4391,0.6400,1.0000,1.0000,0
lp,frozen,twap,95020,129.1596,1.000000,41.8451,20.8000,49.2973,17.2172,0.8144,0.4458,0.5542,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95021,82.6818,1.000000,36.4851,10.0000,49.5173,-13.3206,0.8049,0.4445,0.5555,0.5800,1.0000,1.0000,0
lp,frozen,twap,95021,117.2649,1.000000,39.7497,20.8000,45.2551,11.4601,0.8171,0.5217,0.4783,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95022,89.8782,1.000000,37.5887,10.0000,49.2799,-6.9904,0.8113,0.5197,0.4803,0.5600,1.0000,1.0000,0
lp,frozen,twap,95022,105.6941,1.000000,42.3301,20.8000,50.3249,-7.7609,0.8279,0.6412,0.3588,0.0000,1.0000,1.0000,0
lp,frozen,lookahead,95023,84.1568,1.000000,36.7726,9.2000,52.8004,-14.6163,0.8107,0.4930,0.5070,0.6200,1.0000,1.0000,0
lp,frozen,twap,95023,104.8463,1.000000,40.5252,20.8000,46.8099,-3.2887,0.8104,0.6504,0.3496,0.0000,1.0000,1.0000,0
