mode,policy,seed,shortfall_bps,completion_rate,filled_qty,avg_slippage_bps,fees_paid_x,gas_paid_x,route_concentration,mean_post_trade_gap_bps,arb_trade_count,arb_profit_x,n_steps,total_reward
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,0,192.8946,0.9997,49.9852,172.3621,348.2338,100.0000,0.5097,94.3874,7,442.4295,50,-0.019289
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,1,162.2569,0.9997,49.9852,138.3524,289.5804,100.0000,0.5513,92.1630,10,200.9893,50,-0.016226
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,2,175.9546,0.9997,49.9852,164.3323,334.2953,100.0000,0.5024,86.3850,8,341.4692,50,-0.017595
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,3,198.8856,0.9997,49.9852,180.3565,361.8039,100.0000,0.5013,90.6457,5,232.7421,50,-0.019889
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,4,205.6248,0.9997,49.9852,180.3061,362.0720,100.0000,0.5045,101.4331,9,345.1419,50,-0.020562
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,5,199.5842,0.9997,49.9852,175.8920,354.1818,100.0000,0.5000,128.3410,8,302.2613,50,-0.019958
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,6,244.6247,0.9997,49.9852,216.7439,425.0006,100.0000,0.5346,110.8449,4,432.0467,50,-0.024462
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,7,256.9040,0.9997,49.9852,245.1045,474.8966,100.0000,0.5545,115.7457,4,510.7364,50,-0.025690
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,8,151.3188,0.9997,49.9852,135.6622,284.7429,100.0000,0.5092,85.4296,10,203.0567,50,-0.015132
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,9,141.6182,0.9997,49.9852,114.4477,248.5207,100.0000,0.5012,81.0346,12,167.4137,50,-0.014162
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,10,159.4519,0.9997,49.9852,147.8921,305.7114,100.0000,0.5019,87.4445,8,216.0938,50,-0.015945
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,11,197.2129,0.9997,49.9852,166.3757,337.8126,100.0000,0.5524,83.1196,7,374.2272,50,-0.019721
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,12,181.2133,0.9997,49.9852,156.5472,320.4590,100.0000,0.5039,91.4527,8,169.3527,50,-0.018121
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,13,159.6183,0.9997,49.9852,139.6395,291.5477,100.0000,0.5023,96.8806,11,312.2579,50,-0.015962
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,14,201.9417,0.9997,49.9852,178.7011,359.4767,100.0000,0.5304,87.4164,8,403.2632,50,-0.020194
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,15,221.4001,0.9997,49.9852,196.7427,390.0116,100.0000,0.5766,113.8344,9,446.9082,50,-0.022140
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,16,146.1705,0.9997,49.9852,130.4240,275.7243,100.0000,0.5109,80.5128,14,220.9293,50,-0.014617
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,17,177.8114,0.9997,49.9852,156.1454,320.2058,100.0000,0.5005,82.8054,7,363.7984,50,-0.017781
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,18,166.7375,0.9997,49.9852,145.5133,301.6467,100.0000,0.5035,102.9630,11,294.7922,50,-0.016674
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,19,179.5744,0.9997,49.9852,159.9659,326.4298,100.0000,0.5553,96.3235,7,292.5731,50,-0.017957
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,20,226.6756,0.9997,49.9852,208.9642,411.3892,100.0000,0.5342,124.7685,7,361.4601,50,-0.022668
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,21,217.7845,0.9997,49.9852,197.1376,391.4981,100.0000,0.5976,81.6258,5,291.2304,50,-0.021778
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,22,199.8363,0.9997,49.9852,184.0653,368.3604,100.0000,0.5276,92.6259,10,382.4888,50,-0.019984
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,23,137.4848,0.9997,49.9852,123.8569,264.4343,100.0000,0.5328,76.2081,8,179.2294,50,-0.013748
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,24,231.7864,0.9997,49.9852,217.2004,425.6311,100.0000,0.5324,112.8381,6,438.9586,50,-0.023179
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,25,166.3547,0.9997,49.9852,140.2756,292.8158,100.0000,0.5092,85.5578,9,280.4379,50,-0.016635
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,26,174.1907,0.9997,49.9852,156.2803,320.0020,100.0000,0.5294,90.2940,9,228.6270,50,-0.017419
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,27,160.5456,0.9997,49.9852,142.8551,297.1133,100.0000,0.5087,94.7998,10,263.8412,50,-0.016055
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,28,232.7055,0.9997,49.9852,215.9875,423.2499,100.0000,0.5807,121.6843,7,337.9980,50,-0.023271
DynamicDuopoly,twap|sigma=0.2|arb_speed=0.2,29,193.6736,0.9997,49.9852,174.4631,351.6350,100.0000,0.5361,93.2941,9,281.2846,50,-0.019367
