step,oracle_price,pool_a_mid,pool_b_mid,pool_a_fee_buy,pool_a_fee_sell,pool_b_fee_buy,pool_b_fee_sell,action,agent_qty_a,agent_qty_b,agent_cash_flow_x,agent_fee_paid_x,agent_gas_x,remaining_after,post_trade_gap_a_bps,post_trade_gap_b_bps,noise_buy_a,noise_buy_b,noise_sell_a,noise_sell_b,arb_delta_a,arb_delta_b,reward
0,1000.0,1004.3793473255045,1002.5749071086393,0.005181048380648771,0.0008189516193512292,0.004265384886251925,0.0017346151137480753,exec_10_A,5.0,0.0,5040.24636724243,15.12073910172694,2.0,45.0,100.75503143860033,0.0,0.008268586504652876,1.3037271415506457,2.82576078314727,0.018754569201306307,0.0,0.0,-0.0008449273448486019
1,1000.0476457733088,1001.8681749833611,1002.7871431534683,0.0038664434554923984,0.0021335565445076018,0.004332739882983505,0.001667260117016495,exec_10_B,0.0,4.5,4551.420916563135,19.41356198847916,2.0,40.5,43.31495174758497,116.22923347611926,3.04521166623052,0.12385709385615964,0.08952731599768442,2.141166089736752,-4.205411406874191,-2.3769983128674994,-0.001068418331262692
2,1000.1391001321899,1004.4251655054991,1005.4836114975125,0.005059534086862617,0.0009404659131373831,0.005596486955733946,0.00040351304426605337,exec_10_A,4.05,0.0,4089.894891554082,15.813347337100822,2.0,36.45,99.00066525293887,26.47674729373489,0.047460319080755604,1.4361478047205305,2.8249746217686145,0.09623228493739325,0.0,0.0,-0.0008378978310816364
3,1000.3199952724334,1002.2629093699701,1001.7245241799734,0.004055697559042833,0.0019443024409571664,0.0037825193436060232,0.002217480656393977,exec_10_A,3.6450000000000005,0.0,3693.2391456378696,18.686069348290403,2.0,32.805,114.80347625345685,51.619644208679205,0.15878400381216617,2.9060692233238083,2.2251159964836873,0.12467173879736164,-2.6543964368918296,-4.650829821485672,-0.0010047829127573823
4,1000.1643361517457,1007.1826888602029,1006.0906604612334,0.006760767705776504,0.0001,0.0062064568287786715,0.0001,exec_10_B,0.0,3.2805,3309.500624375005,12.518250129374792,2.0,29.5245,20.98228403443068,81.69363624358503,2.512021385220458,0.13635394354145774,0.06944652422382173,1.2465129816457365,0.0,0.0,-0.0006200124875000983
5,999.7060310491337,1000.8058176619488,1000.8058176619489,0.0036276562782261382,0.002372343721773862,0.003627656278226196,0.002372343721773804,exec_10_B,0.0,2.9524500000000002,2997.8613157563864,18.606096834907476,2.0,26.57205,74.78856362627832,123.73771402267187,2.0998916397763217,0.23659517277738365,0.10037488658239807,1.155676657307366,-5.168964137569219,-4.6621924327046145,-0.000948226315127722
6,999.5572995273452,1003.8108751304236,1004.3911647864193,0.005069534948588986,0.0009304650514110144,0.005364103906312947,0.0006358960936870533,exec_10_A,2.6572050000000003,0.0,2676.1424645324832,9.708125012889013,2.0,23.914845,65.93563886781405,12.490710989696211,0.12782721536934383,1.8756123864674843,1.2876889420461184,0.08989999871561655,0.0,0.0,-0.0004187492906496573
7,999.690754767928,1004.5818456665887,1001.3271855685012,0.004952838612767806,0.0010471613872321942,0.003302323434596211,0.0026976765654037893,exec_10_A,2.3914845000000002,0.0,2418.625190621841,12.261304931394989,2.0,21.5233605,89.5056827371753,47.01864047529861,0.2127511191023944,1.5543828519640166,2.2211641025910387,0.3093365109855953,0.0,-2.7704912389465335,-0.0005828138124368161
8,1000.7089633276245,1003.6725194265853,1006.0611221302378,0.0049378483406436,0.0010621516593563999,0.006150210279849796,0.0001,exec_10_B,0.0,2.15233605,2167.0005307596794,7.156136635510393,2.0,19.37102445,38.70138552657586,49.419378680577054,0.8951119564788959,1.2054830017714406,1.3469748693065957,1.0038982011541384,0.0,0.0,-0.0003332896151935802
9,999.8049960277798,1001.8689377785265,1000.9048915129589,0.004877780661621849,0.001122219338378151,0.004387640791904719,0.0016123592080952815,exec_10_A,1.937102445,0.0,1957.6635292158512,9.666645609276884,2.0,17.433922005,77.7597570410625,62.57346309843961,0.5649867604370651,0.6543362638596742,0.8212107026679573,0.624538303129054,-2.57893479306631,-2.5945128651181903,-0.0004512216843170245
